year,province,track,score,rank
2025,吉林省,history,456,13178
2025,吉林省,history,455,13324
2025,吉林省,history,454,13423
2025,吉林省,history,453,13530
2025,吉林省,history,452,13646
2025,吉林省,history,451,13778
2025,吉林省,history,450,13899
2025,吉林省,history,449,14046
2025,吉林省,history,448,14158
2025,吉林省,history,447,14305
2025,吉林省,history,446,14419
2025,吉林省,history,445,14537
2025,吉林省,history,444,14642
2025,吉林省,history,443,14757
2025,吉林省,history,442,14887
2025,吉林省,history,441,15020
2025,吉林省,history,440,15156
2025,吉林省,history,439,15275
2025,吉林省,history,438,15398
2025,吉林省,history,437,15526
2025,吉林省,history,436,15635
2025,吉林省,history,435,15740
2025,吉林省,history,434,15865
2025,吉林省,history,433,15982
2025,吉林省,history,432,16116
2025,吉林省,history,431,16241
2025,吉林省,history,430,16351
2025,吉林省,history,429,16483
2025,吉林省,history,428,16608
2025,吉林省,history,427,16716
2025,吉林省,history,426,16838
2025,吉林省,history,425,16946
2025,吉林省,history,424,17076
2025,吉林省,history,423,17189
2025,吉林省,history,422,17307
2025,吉林省,history,421,17422
2025,吉林省,history,420,17548
2025,吉林省,history,419,17661
2025,吉林省,history,418,17785
2025,吉林省,history,417,17907
2025,吉林省,history,416,18019
2025,吉林省,history,415,18130
2025,吉林省,history,414,18257
2025,吉林省,history,413,18373
2025,吉林省,history,412,18511
2025,吉林省,history,411,18636
2025,吉林省,history,410,18751
2025,吉林省,history,409,18858
2025,吉林省,history,408,18991
2025,吉林省,history,407,19120
2025,吉林省,history,406,19240
2025,吉林省,history,405,19346
2025,吉林省,history,404,19456
2025,吉林省,history,403,19584
2025,吉林省,history,402,19694
2025,吉林省,history,401,19807
2025,吉林省,history,400,19929
2025,吉林省,history,399,20026
2025,吉林省,history,398,20123
2025,吉林省,history,397,20235
2025,吉林省,history,396,20340
2025,吉林省,history,395,20451
2025,吉林省,history,394,20551
2025,吉林省,history,393,20652
2025,吉林省,history,392,20765
2025,吉林省,history,391,20871
2025,吉林省,history,390,20971
2025,吉林省,history,389,21066
2025,吉林省,history,388,21179
2025,吉林省,history,387,21298
2025,吉林省,history,386,21408
2025,吉林省,history,385,21513
2025,吉林省,history,384,21618
2025,吉林省,history,383,21723
2025,吉林省,history,382,21833
2025,吉林省,history,381,21925
2025,吉林省,history,380,22041
2025,吉林省,history,379,22139
2025,吉林省,history,378,22241
2025,吉林省,history,377,22323
2025,吉林省,history,376,22403
2025,吉林省,history,375,22501
2025,吉林省,history,374,22592
2025,吉林省,history,373,22687
2025,吉林省,history,372,22799
2025,吉林省,history,371,22886
2025,吉林省,history,370,22990
2025,吉林省,history,369,23075
2025,吉林省,history,368,23160
2025,吉林省,history,367,23239
2025,吉林省,history,366,23326
2025,吉林省,history,365,23421
2025,吉林省,history,364,23529
2025,吉林省,history,363,23627
2025,吉林省,history,362,23710
2025,吉林省,history,361,23792
2025,吉林省,history,360,23879
2025,吉林省,history,359,23959
2025,吉林省,history,358,24045
2025,吉林省,history,357,24123
2025,吉林省,history,356,24205
2025,吉林省,history,355,24276
2025,吉林省,history,354,24359
2025,吉林省,history,353,24442
2025,吉林省,history,352,24539
2025,吉林省,history,351,24612
2025,吉林省,history,350,24701
2025,吉林省,history,349,24774
2025,吉林省,history,348,24863
2025,吉林省,history,347,24939
2025,吉林省,history,346,25015
2025,吉林省,history,345,25080
2025,吉林省,history,344,25148
2025,吉林省,history,343,25213
2025,吉林省,history,342,25283
2025,吉林省,history,341,25347
2025,吉林省,history,340,25425
2025,吉林省,history,339,25498
2025,吉林省,history,338,25565
2025,吉林省,history,337,25630
2025,吉林省,history,336,25701
2025,吉林省,history,335,25762
2025,吉林省,history,334,25839
2025,吉林省,history,333,25914
2025,吉林省,history,332,25978
2025,吉林省,history,331,26043
2025,吉林省,history,330,26117
2025,吉林省,history,329,26170
2025,吉林省,history,328,26242
2025,吉林省,history,327,26305
2025,吉林省,history,326,26367
2025,吉林省,history,325,26433
2025,吉林省,history,324,26492
2025,吉林省,history,323,26549
2025,吉林省,history,322,26604
2025,吉林省,history,321,26668
2025,吉林省,history,320,26733
2025,吉林省,history,319,26796
2025,吉林省,history,318,26867
2025,吉林省,history,317,26921
2025,吉林省,history,316,26962
2025,吉林省,history,315,27014
2025,吉林省,history,314,27069
2025,吉林省,history,313,27123
2025,吉林省,history,312,27174
2025,吉林省,history,311,27228
2025,吉林省,history,310,27275
2025,吉林省,history,309,27333
2025,吉林省,history,308,27379
2025,吉林省,history,307,27417
2025,吉林省,history,306,27468
2025,吉林省,history,305,27498
2025,吉林省,history,304,27538
2025,吉林省,history,303,27583
2025,吉林省,history,302,27630
2025,吉林省,history,301,27670
2025,吉林省,history,300,27706
2025,吉林省,history,299,27743
2025,吉林省,history,298,27791
2025,吉林省,history,297,27829
2025,吉林省,history,296,27869
2025,吉林省,history,295,27901
2025,吉林省,history,294,27946
2025,吉林省,history,293,27991
2025,吉林省,history,292,28021
2025,吉林省,history,291,28041
2025,吉林省,history,290,28076
2025,吉林省,history,289,28111
2025,吉林省,history,288,28144
2025,吉林省,history,287,28182
2025,吉林省,history,286,28214
2025,吉林省,history,285,28243
2025,吉林省,history,284,28275
2025,吉林省,history,283,28304
2025,吉林省,history,282,28326
2025,吉林省,history,281,28347
2025,吉林省,history,280,28381
2025,吉林省,history,279,28410
2025,吉林省,history,278,28439
2025,吉林省,history,277,28464
2025,吉林省,history,276,28487
2025,吉林省,history,275,28508
2025,吉林省,history,274,28538
2025,吉林省,history,273,28556
2025,吉林省,history,272,28581
2025,吉林省,history,271,28599
2025,吉林省,history,270,28619
2025,吉林省,history,269,28637
2025,吉林省,history,268,28667
2025,吉林省,history,267,28684
2025,吉林省,history,266,28700
2025,吉林省,history,265,28724
2025,吉林省,history,264,28740
2025,吉林省,history,263,28758
2025,吉林省,history,262,28784
2025,吉林省,history,261,28802
2025,吉林省,history,260,28824
2025,吉林省,history,259,28850
2025,吉林省,history,258,28861
2025,吉林省,history,257,28879
2025,吉林省,history,256,28891
2025,吉林省,history,255,28916
2025,吉林省,history,254,28931
2025,吉林省,history,253,28954
2025,吉林省,history,252,28971
2025,吉林省,history,251,28991
2025,吉林省,history,250,29005
2025,吉林省,history,249,29021
2025,吉林省,history,248,29039
2025,吉林省,history,247,29058
2025,吉林省,history,246,29074
2025,吉林省,history,245,29087
2025,吉林省,history,244,29097
2025,吉林省,history,243,29110
2025,吉林省,history,242,29116
2025,吉林省,history,241,29124
2025,吉林省,history,240,29135
2025,吉林省,history,239,29146
2025,吉林省,history,238,29163
2025,吉林省,history,237,29173
2025,吉林省,history,236,29186
2025,吉林省,history,235,29189
2025,吉林省,history,234,29198
2025,吉林省,history,233,29209
