year,province,track,score,rank
2025,吉林省,physics,502,25722
2025,吉林省,physics,501,26023
2025,吉林省,physics,500,26306
2025,吉林省,physics,499,26594
2025,吉林省,physics,498,26870
2025,吉林省,physics,497,27140
2025,吉林省,physics,496,27417
2025,吉林省,physics,495,27666
2025,吉林省,physics,494,27931
2025,吉林省,physics,493,28205
2025,吉林省,physics,492,28486
2025,吉林省,physics,491,28743
2025,吉林省,physics,490,29048
2025,吉林省,physics,489,29318
2025,吉林省,physics,488,29593
2025,吉林省,physics,487,29895
2025,吉林省,physics,486,30171
2025,吉林省,physics,485,30450
2025,吉林省,physics,484,30727
2025,吉林省,physics,483,31004
2025,吉林省,physics,482,31275
2025,吉林省,physics,481,31557
2025,吉林省,physics,480,31859
2025,吉林省,physics,479,32117
2025,吉林省,physics,478,32377
2025,吉林省,physics,477,32637
2025,吉林省,physics,476,32954
2025,吉林省,physics,475,33219
2025,吉林省,physics,474,33511
2025,吉林省,physics,473,33795
2025,吉林省,physics,472,34050
2025,吉林省,physics,471,34343
2025,吉林省,physics,470,34651
2025,吉林省,physics,469,34959
2025,吉林省,physics,468,35273
2025,吉林省,physics,467,35541
2025,吉林省,physics,466,35819
2025,吉林省,physics,465,36128
2025,吉林省,physics,464,36420
2025,吉林省,physics,463,36686
2025,吉林省,physics,462,36973
2025,吉林省,physics,461,37266
2025,吉林省,physics,460,37576
2025,吉林省,physics,459,37904
2025,吉林省,physics,458,38202
2025,吉林省,physics,457,38506
2025,吉林省,physics,456,38815
2025,吉林省,physics,455,39104
2025,吉林省,physics,454,39384
2025,吉林省,physics,453,39671
2025,吉林省,physics,452,39998
2025,吉林省,physics,451,40315
2025,吉林省,physics,450,40599
2025,吉林省,physics,449,40957
2025,吉林省,physics,448,41252
2025,吉林省,physics,447,41575
2025,吉林省,physics,446,41859
2025,吉林省,physics,445,42147
2025,吉林省,physics,444,42482
2025,吉林省,physics,443,42786
2025,吉林省,physics,442,43111
2025,吉林省,physics,441,43368
2025,吉林省,physics,440,43673
2025,吉林省,physics,439,43976
2025,吉林省,physics,438,44262
2025,吉林省,physics,437,44575
2025,吉林省,physics,436,44881
2025,吉林省,physics,435,45161
2025,吉林省,physics,434,45451
2025,吉林省,physics,433,45764
2025,吉林省,physics,432,46087
2025,吉林省,physics,431,46398
2025,吉林省,physics,430,46698
2025,吉林省,physics,429,46989
2025,吉林省,physics,428,47283
2025,吉林省,physics,427,47554
2025,吉林省,physics,426,47870
2025,吉林省,physics,425,48141
2025,吉林省,physics,424,48456
2025,吉林省,physics,423,48736
2025,吉林省,physics,422,49045
2025,吉林省,physics,421,49343
2025,吉林省,physics,420,49638
2025,吉林省,physics,419,49961
2025,吉林省,physics,418,50253
2025,吉林省,physics,417,50519
2025,吉林省,physics,416,50809
2025,吉林省,physics,415,51093
2025,吉林省,physics,414,51377
2025,吉林省,physics,413,51692
2025,吉林省,physics,412,52024
2025,吉林省,physics,411,52335
2025,吉林省,physics,410,52624
2025,吉林省,physics,409,52906
2025,吉林省,physics,408,53213
2025,吉林省,physics,407,53486
2025,吉林省,physics,406,53749
2025,吉林省,physics,405,54030
2025,吉林省,physics,404,54321
2025,吉林省,physics,403,54576
2025,吉林省,physics,402,54866
2025,吉林省,physics,401,55149
2025,吉林省,physics,400,55396
2025,吉林省,physics,399,55692
2025,吉林省,physics,398,55949
2025,吉林省,physics,397,56221
2025,吉林省,physics,396,56505
2025,吉林省,physics,395,56799
2025,吉林省,physics,394,57064
2025,吉林省,physics,393,57354
2025,吉林省,physics,392,57630
2025,吉林省,physics,391,57889
2025,吉林省,physics,390,58141
2025,吉林省,physics,389,58409
2025,吉林省,physics,388,58650
2025,吉林省,physics,387,58906
2025,吉林省,physics,386,59187
2025,吉林省,physics,385,59488
2025,吉林省,physics,384,59779
2025,吉林省,physics,383,60024
2025,吉林省,physics,382,60287
2025,吉林省,physics,381,60541
2025,吉林省,physics,380,60804
2025,吉林省,physics,379,61023
2025,吉林省,physics,378,61283
2025,吉林省,physics,377,61536
2025,吉林省,physics,376,61787
2025,吉林省,physics,375,62030
2025,吉林省,physics,374,62285
2025,吉林省,physics,373,62546
2025,吉林省,physics,372,62789
2025,吉林省,physics,371,63014
2025,吉林省,physics,370,63256
2025,吉林省,physics,369,63497
2025,吉林省,physics,368,63728
2025,吉林省,physics,367,63947
2025,吉林省,physics,366,64184
2025,吉林省,physics,365,64428
2025,吉林省,physics,364,64649
2025,吉林省,physics,363,64880
2025,吉林省,physics,362,65089
2025,吉林省,physics,361,65335
2025,吉林省,physics,360,65518
2025,吉林省,physics,359,65696
2025,吉林省,physics,358,65925
2025,吉林省,physics,357,66113
2025,吉林省,physics,356,66310
2025,吉林省,physics,355,66526
2025,吉林省,physics,354,66723
2025,吉林省,physics,353,66904
2025,吉林省,physics,352,67088
2025,吉林省,physics,351,67278
2025,吉林省,physics,350,67486
2025,吉林省,physics,349,67704
2025,吉林省,physics,348,67914
2025,吉林省,physics,347,68090
2025,吉林省,physics,346,68302
2025,吉林省,physics,345,68488
2025,吉林省,physics,344,68666
2025,吉林省,physics,343,68853
2025,吉林省,physics,342,69037
2025,吉林省,physics,341,69228
2025,吉林省,physics,340,69405
2025,吉林省,physics,339,69588
2025,吉林省,physics,338,69752
2025,吉林省,physics,337,69928
2025,吉林省,physics,336,70084
2025,吉林省,physics,335,70278
2025,吉林省,physics,334,70437
2025,吉林省,physics,333,70591
2025,吉林省,physics,332,70757
2025,吉林省,physics,331,70916
2025,吉林省,physics,330,71092
2025,吉林省,physics,329,71268
2025,吉林省,physics,328,71435
2025,吉林省,physics,327,71589
2025,吉林省,physics,326,71759
2025,吉林省,physics,325,71904
2025,吉林省,physics,324,72048
2025,吉林省,physics,323,72171
2025,吉林省,physics,322,72307
2025,吉林省,physics,321,72452
